AT SMY  174.1031 52.7308
TA C08A  -119.0454 47.7849
TA C09A  -118.2741 47.8006
TA C10A  -117.3077 47.8192
TA C11A  -116.2557 47.8397
TA C12B  -115.475 47.7092
TA C13A  -114.5735 47.6795
TA C14A  -113.7468 47.7687
TA C15A  -112.6072 47.775
TA C16A  -111.7458 47.8012
TA C17A  -110.7626 47.6327
TA C19A  -109.0489 47.7343
TA C20A  -108.0042 47.7133
TA C21A  -107.096 47.8264
TA C22A  -105.8841 47.7456
TA C23A  -105.1844 47.8026
TA C24A  -104.4252 47.5302
TA D03A  -123.7714 47.1161
TA D04A  -122.8035 47.1109
TA D05A  -121.9888 47.1881
TA D06A  -120.8445 47.1935
TA D07A  -119.9732 47.1936
TA D08A  -118.921 47.0573
TA D09A  -118.3092 47.0615
TA D10A  -117.2759 47.0547
TA D11A  -116.3353 47.0477
TA D12A  -115.3525 47.0528
TA D13A  -114.4587 47.0943
TA D14A  -113.5062 47.0816
TA D15A  -112.5204 47.0418
TA D16A  -111.5492 47.0308
TA D17A  -110.6873 47.1523
TA D18A  -109.8023 47.1961
TA D19A  -108.88 47.1646
TA D20A  -108.1362 47.0911
TA D21A  -106.9939 47.0658
TA D22A  -106.1797 47.1498
TA D23A  -105.2071 47.173
TA D24A  -104.327 47.1152
TA E03A  -123.5632 46.5459
TA E04A  -122.7204 46.5934
TA E05A  -121.7608 46.5605
TA E06A  -120.9791 46.5433
TA E07A  -119.8548 46.5585
TA E08A  -119.0595 46.4911
TA E09A  -118.1455 46.5139
TA E10A  -117.1102 46.485
TA E11A  -116.2092 46.3559
TA E12A  -115.5705 46.4151
TA E13A  -114.188 46.4423
TA E14A  -113.4926 46.4162
TA E15A  -112.6412 46.4246
TA E16A  -111.6764 46.5336
TA E17A  -110.8576 46.462
TA E18A  -109.9137 46.5663
TA E19A  -108.786 46.4611
TA E20A  -108.1301 46.5038
TA E21A  -107.0757 46.5408
TA ELFS  -120.7279 40.6183
TA F03A  -123.5591 45.9306
