AT SMY  174.1031 52.7308
XE YOS06  -119.6146 37.8508
XE YOS07  -119.58 37.8139
XE YOS08  -119.5452 37.807
XE YOS09  -119.5006 37.8154
XE YOS10  -119.4401 37.8548
XE YOS11  -119.4033 37.8807
XQ ME01  -123.4034 41.7752
XQ ME02  -122.3372 41.6898
XQ ME03  -123.881 41.702
XQ ME04  -123.514 41.355
XQ ME05  -122.052 41.526
XQ ME06  -121.695 41.342
XQ ME07  -123.912 41.168
XQ ME08  -123.305 40.222
XQ ME09  -122.726 41.086
XQ ME10  -122.4619 40.9591
XQ ME11  -121.37 41.056
XQ ME12  -122.498 40.104
XQ ME13  -122.918 40.764
XQ ME14  -121.896 41.006
XQ ME14A  -121.8966 41.0076
XQ ME15  -121.684 40.81
XQ ME16  -122.087 40.577
XQ ME17  -121.722 40.536
XQ ME18  -121.022 40.729
XQ ME20  -120.984 40.477
XQ ME21  -121.2376 40.3487
XQ ME23  -121.455 40.396
XQ ME24  -122.047 40.359
XQ ME25  -121.802 40.295
XQ ME26  -122.099 40.157
XQ ME27  -123.155 40.453
XQ ME28  -122.471 40.327
XQ ME29  -123.1408 41.142
XQ ME30  -123.565 40.843
XQ ME31  -123.947 40.722
XQ ME32  -123.859 40.5907
XQ ME33  -123.802 40.483
XQ ME34  -124.127 40.483
XQ ME35  -123.748 40.483
XQ ME36  -124.1638 40.2482
XQ ME37  -123.654 40.285
XQ ME38  -123.5032 40.101
XQ ME39  -123.5943 40.1882
XQ ME41  -123.361 39.885
XQ ME42  -123.273 39.7145
XQ ME43  -123.175 39.5703
XQ ME44  -123.187 39.4928
XQ ME45  -122.9595 39.4666
XQ ME46  -122.968 39.196
XQ ME47  -122.8106 39.1124
XQ ME48  -122.7603 38.9063
XQ ME49  -123.7194 39.8633
XQ ME50  -123.475 39.622
XQ ME52  -123.2191 39.3228
XQ ME53  -123.5934 39.2229
XQ ME54  -123.3779 39.0132
XQ ME55  -123.0762 38.6639
XQ ME57  -122.5676 39.9118
XQ ME59  -121.833 39.83
XQ ME60  -121.5364 39.949
XQ ME61  -122.296 39.532
XQ ME62  -121.919 39.534
XQ ME63  -122.5224 39.3154
XQ ME64  -122.1552 39.2751
XQ ME65  -122.1416 39.0049
XQ ME80  -120.6017 40.3453
XQ ME81  -121.1723 40.1096
XQ ME82  -121.527 39.719
XQ ME83  -120.3973 40.1808
XQ ME84  -120.1875 40.025
XQ ME85  -120.6412 40.0112
XQ ME86  -120.7136 39.8043
XQ ME87  -121.0913 39.6818
XQ ME88  -121.3469 39.2362
XQ ME89  -121.1626 39.3837
XQ ME90  -120.8459 39.4782
XQ ME91  -120.2246 39.6502
XQ ME92  -120.0408 39.4725
XQ ME93  -120.1548 39.0516
XR SC05  -105.0554 34.5715
XR SC06  -104.2664 34.5145
XR SC07  -105.6877 34.1838
XR SC08  -105.4697 34.1567
XR SC09  -105.0013 34.1517
XR SC10  -104.6666 34.1937
XR SC11  -104.2959 34.2323
XR SC12  -103.9116 34.2148
XR SC13  -103.5269 34.2135
XR SC14  -105.7695 33.9682
XR SC15  -105.0255 33.8308
XR SC16  -104.3043 33.8903
XR SC17  -103.5446 33.893
XR SC18  -102.8409 33.8774
XR SC20  -105.5935 33.6042
XR SC21  -105.1655 33.5975
XR SC23  -104.3282 33.5995
XR SC25  -103.5482 33.5806
XR SC26  -103.1184 33.5044
XR SC27  -102.8207 33.5385
XR SC28  -102.4915 33.5662
XR SC29  -105.6705 33.3102
XR SC31  -104.3415 33.259
XR SC32  -103.5979 33.1939
XR SC33  -102.8343 33.2334
XR SC34  -105.8163 32.9513
XR SC35  -105.5153 32.9369
XR SC36  -105.18 33.0053
XR SC37  -104.6192 32.937
XR SC38  -104.3402 32.9288
XR SC39  -103.8453 33.0286
XR SC40  -103.54 32.9317
XR SC41  -103.2056 32.9833
XR SC42  -102.8612 32.8728
XR SC43  -102.5369 32.9426
XR SC44  -105.947 32.7572
XR SC45  -105.1552 32.6337
XR SC46  -104.3614 32.654
XR SC47  -103.6257 32.629
XR SC48  -102.905 32.6899
XR SC49  -106.064 32.443
XR SC51  -105.1718 32.3673
XR SC52  -104.8272 32.488
XR SC53  -104.3192 32.3766
XR SC54  -104.0398 32.2837
XR SC55  -103.6733 32.1712
XR SC56  -103.3986 32.3554
XR SC57  -102.8513 32.3691
XR SC58  -102.5482 32.2888
XR SC59  -105.1481 31.9694
XR SC60  -104.4877 32.0937
XR SC61  -103.6911 31.9895
XR SC62  -102.9373 32.0119
XR SC63  -104.8464 31.8029
XR SC64  -104.4258 31.6996
XR SC65  -104.0178 31.727
XR SC66  -103.7363 31.6679
XR SC67  -103.3951 31.7051
XR SC68  -102.77 31.8027
XR SC69  -102.588 31.6905
XR SC70  -103.7374 31.3663
XR SC72  -103.6346 31.1096
XR SC73  -102.9875 30.9611
XR SC74  -102.6771 31.0024
XR SC75  -105.952 31.8742
YW FAC1  -123.6367 45.0404
YW FAC3  -122.4613 44.407
YW FACA  -122.0629 47.8634
YW FACB  -122.6464 47.8872
YW FACC  -122.5795 47.4009
YW FACD  -122.8521 46.6619
YW FACF  -122.7762 46.3316
YW FACG  -123.1758 46.0753
YW FACH  -123.2158 45.8811
YW FACI  -122.4586 45.7151
YW FACJ  -123.2893 45.296
YW FACK  -123.0729 44.8384
YW FACL  -123.0198 44.1399
YW FACM  -122.4473 43.7824
YW FACN  -123.3493 43.6971
YW FACO  -123.8068 43.5362
YW FACP  -124.0854 43.2143
YW FACQ  -124.0596 42.9094
YW FACR  -123.1211 43.4344
YW FACS  -123.372 42.7859
YW FACT  -124.0665 42.5575
YW FACU  -122.8272 42.2556
YW FACV  -123.6018 42.156
ZG W01  -115.95 44.921
ZG W02  -116.14 44.932
ZG W03  -116.399 44.991
ZG W04  -116.664 45.045
ZG W05  -116.836 45.128
ZG W06  -117.034 45.164
ZG W07  -117.375 45.25
ZG W08  -117.359 45.427
ZG W09  -117.807 45.504
ZG W10  -117.681 45.64
ZG W11  -117.548 45.805
ZG W12  -117.464 45.953
ZG W13  -117.379 46.122
ZG W14  -117.499 46.269
ZG W15  -117.548 46.375
ZG W16  -117.644 46.512
ZG W17  -117.719 46.62
ZG W18  -117.1916 45.009
ZG W19  -117.506 44.8448
ZG W20  -117.924 44.538
ZG W21  -117.3839 46.724
ZG W22  -118.0727 46.7893
ZG W23  -117.7597 46.9657
ZG W24  -118.0822 45.541
ZG W25  -118.4009 45.6604
ZG W26  -119.0871 46.0184
ZG W27  -119.3958 46.1716
ZG W28  -117.0982 45.5303
ZG W29  -116.8515 45.6501
ZG W30  -116.3647 45.8019
