F18A  -109.7158 45.9046
F19A  -108.9437 45.8538
F20A  -108.1488 45.8006
F21A  -107.1233 45.8231
FAC1  -123.6367 45.0404
FAC3  -122.4613 44.407
FACA  -122.0629 47.8634
FACB  -122.6464 47.8872
FACC  -122.5795 47.4009
FACD  -122.8521 46.6619
FACF  -122.7762 46.3316
FACG  -123.1758 46.0753
FACH  -123.2158 45.8811
FACI  -122.4586 45.7151
FACJ  -123.2893 45.296
FACK  -123.0729 44.8384
FACL  -123.0198 44.1399
FACM  -122.4473 43.7824
FACN  -123.3493 43.6971
FACO  -123.8068 43.5362
FACP  -124.0854 43.2143
FACQ  -124.0596 42.9094
FACR  -123.1211 43.4344
FACS  -123.372 42.7859
FACT  -124.0665 42.5575
FACU  -122.8272 42.2556
FACV  -123.6018 42.156
FARB  -123.0011 37.69782
FMP  -118.2938 33.71264
FUR  -116.8632 36.46703
G03A  -123.2811 45.3153
G04A  -122.4784 45.2059
G05A  -121.3167 45.2422
G06A  -120.6351 45.2357
G07A  -119.6692 45.2664
G08A  -118.9595 45.2904
G09A  -117.7802 45.2781
G10A  -117.1204 45.2925
G11A  -116.268 45.3997
G12A  -115.3257 45.1285
G13A  -114.2329 45.0931
G14A  -113.4604 45.2432
G15A  -112.4887 45.166
G16A  -111.8046 45.2285
G17A  -110.7398 45.3212
G18A  -109.5631 45.3171
G20A  -108.2141 45.2202
G21A  -107.207 45.225
GASB  -122.716 39.65471
GLA  -114.8271 33.05149
GLMI  -84.6175 44.8245
GMR  -115.6599 34.78457
GOGA  -83.4666 33.4112
GOR  -117.2292 33.1537
GRA  -117.3662 36.99608
GSC  -116.8057 35.30177
H02A  -123.9997 44.6764
H03A  -123.2923 44.6765
H04A  -122.1862 44.6837
H05A  -121.2271 44.6473
H06A  -120.3346 44.7344
H07A  -119.5646 44.5913
H08A  -118.6704 44.5191
H09A  -117.6643 44.6653
H10A  -116.7474 44.589
H11A  -116.0127 44.7035
H12A  -114.8554 44.5494
H13A  -114.2545 44.5642
H14A  -113.3674 44.6165
H15A  -112.6439 44.6173
H16A  -111.2478 44.7038
H17A  -110.5762 44.3951
H18A  -109.6641 44.6769
H19A  -108.9857 44.6704
H20A  -107.999 44.4868
H21A  -107.0423 44.6277
H22A  -106.3521 44.5943
HAST  -121.5514 36.3887
HATC  -121.4612 40.8161
HAWA  -119.5327 46.3925
HDIL  -89.294 40.5559
HEC  -116.335 34.8294
HELL  -119.0228 36.6801
HKT  -95.8384 29.9618
HLID  -114.4138 43.5625
HOPS  -123.0723 38.99349
HRV  -71.5583 42.5064
HUMO  -122.9567 42.6071
I02A  -123.8299 44.0035
I03A  -123.2777 43.9726
I04A  -122.4113 43.7941
I05A  -121.2675 44.1626
I06A  -120.2107 43.9437
I07A  -119.5042 44.082
I08A  -118.5692 43.9104
I09A  -117.7407 43.9733
I10A  -116.8029 44.086
I11A  -115.9578 43.9121
I12A  -115.1328 43.7945
I13A  -114.1169 43.9146
I14A  -113.4518 43.9286
I15A  -112.485 43.9997
I16A  -111.4868 43.8756
I17A  -110.5759 43.92
I18A  -109.8171 43.7013
I19A  -108.9943 44.0363
I20A  -108.1283 43.9496
I21A  -107.292 43.8122
I22A  -106.484 43.8924
IRM  -115.1451 34.15738
ISA  -118.474 35.66278
ISCO  -105.6134 39.7997
J02A  -123.5747 43.3654
J03A  -122.9646 43.3717
J04A  -122.1093 43.2406
J05A  -121.2357 43.2843
J06A  -120.1528 43.2515
J07A  -119.3105 43.3736
J08A  -118.4743 43.358
J09A  -117.7542 43.3471
J10A  -116.767 43.4275
J11A  -115.8278 43.4151
J12A  -115.098 43.25
J13A  -114.1742 43.3979
J14A  -113.5178 43.3234
J15A  -112.4334 43.3998
J16A  -111.6119 43.2741
J17A  -110.7118 43.3629
J18A  -110.02 43.2112
J19A  -109.0531 43.2649
J20A  -108.0842 43.3531
J21A  -107.4459 43.3459
J22A  -106.4785 43.4126
JCC  -124.0295 40.81745
JCT  -99.8022 30.4794
JFWS  -90.2481 42.9142
JRSC  -122.2387 37.40373
K01A  -124.4692 42.8088
